Time,Position+AF8-x,Position+AF8-y,Metrics
7676.7147469521,+AC0-17,27,0
7680.717343092,+AC0-16,27,0
7682.704736948,+AC0-16,28,0
7684.717963934,+AC0-15,28,0
7687.7305970192,+AC0-14,28,0
7691.7451770306,+AC0-13,28,0
7695.7449071407,+AC0-12,28,0.0019704001
7699.7669050694,+AC0-11,28,0.0060977
7704.768132925,+AC0-10,28,0.0172819998
7706.7807600498,+AC0-10,29,0.0183390006
7709.7982749939,+AC0-9,29,0.0482329987
7712.791793108,+AC0-8,29,0.1161800027
7716.7964191437,+AC0-7,29,0.2563099861
7720.8223540783,+AC0-6,29,0.5178499818
7724.8116369248,+AC0-5,29,0.9581999779
7728.8268311024,+AC0-4,29,1.6238000393
7729.8254289627,+AC0-4,30,1.8243999481
7733.8202199936,+AC0-3,30,2.8691000938
7738.8238930702,+AC0-2,30,4.1322999001
7742.8603570461,+AC0-1,30,5.450799942
7746.8422620297,0,30,6.5848999023
7755.8671209812,1,30,7.2853999138
7758.8414571285,1,31,8.5532999039
7760.8501391411,2,31,8.7819004059
7765.8658499718,3,31,8.2576999664
7769.8949589729,4,31,7.1114001274
7774.8895940781,5,31,5.6087999344
7778.8909440041,6,31,4.0514001846
7782.8950529099,7,31,2.6802000999
7808.9205589295,7,30,2.1092000008
7810.9145309925,8,30,1.2611999512
7811.9648740292,8,29,0.9581999779
7832.9564459324,8,28,0.712199986
7833.9736559391,7,28,1.222900033
7836.9615731239,6,28,1.9232000113
7840.9973161221,5,28,2.7699999809
7844.9778299332,4,28,3.6538000107
7849.0262739658,3,28,4.4140000343
7853.9857609272,2,28,4.883600235
7858.0076289177,1,28,4.9484000206
7861.9917421341,0,28,4.5921001434
7871.0126099587,+AC0-1,28,3.9028000832
7875.0280721188,+AC0-2,28,3.037899971
7880.009483099,+AC0-3,28,2.1656000614
7884.0219399929,+AC0-4,28,1.4139000177
7888.0313379765,+AC0-5,28,0.8453800082
7893.0389909744,+AC0-6,28,0.4629400074
7897.0418860912,+AC0-7,28,0.2321700007
7902.0519580841,+AC0-8,28,0.1066400036
7906.0696151257,+AC0-9,28,0.0448589996
7908.0636520386,+AC0-9,27,0.0408140011
7911.0606200695,+AC0-10,27,0.0159319993
7916.0851089954,+AC0-11,27,0.0056961002
7921.0927541256,+AC0-12,27,0.0018651
7924.0894260407,+AC0-13,27,0
7929.124737978,+AC0-14,27,0
7932.1156020165,+AC0-15,27,0
7937.1210660935,+AC0-16,27,0
7942.1409580708,+AC0-17,27,0
7945.1558260918,+AC0-18,27,0
7950.1857421398,+AC0-19,27,0
7971.1926801205,+AC0-18,27,0
7972.1756880283,+AC0-18,26,0
7975.2056751251,+AC0-18,25,0
7979.1941599846,+AC0-18,24,0
7999.2218060494,+AC0-17,24,0
8002.2416889668,+AC0-16,24,0
8004.2557430267,+AC0-16,25,0
8006.2512950897,+AC0-15,25,0
8009.2560770512,+AC0-14,25,0
8014.2559440136,+AC0-13,25,0
8018.2652730942,+AC0-12,25,0.0015644
8022.2605419159,+AC0-11,25,0.0046533998
8027.2860119343,+AC0-10,25,0.0126769999
8028.2689700127,+AC0-10,26,0.0143689997
8032.2716889381,+AC0-9,26,0.0363259986
8036.2801101208,+AC0-8,26,0.0841069967
8041.2897651196,+AC0-7,26,0.1783500016
8045.2865660191,+AC0-6,26,0.346359998
8049.2933609486,+AC0-5,26,0.6160299778
8053.32477808,+AC0-5,27,0.7296299934
8054.3091659546,+AC0-4,27,1.204300046
8059.3106720448,+AC0-3,27,1.8203999996
8063.307322979,+AC0-2,27,2.5202000141
8067.3179190159,+AC0-1,27,3.1953999996
8072.3368060589,0,27,3.7104001045
8078.3502900601,0,28,4.5921001434
